id,name,symbol,gecko_id,pegType,priceSource,pegMechanism,circulating,circulatingPrevDay,circulatingPrevWeek,circulatingPrevMonth,chainCirculating,chains,price,delisted
36,Ratio Stable Coin,USDR,ratio-stable-coin,peggedUSD,defillama,crypto-backed,{'peggedUSD': 1522649.861011},{'peggedUSD': 1522649.861011},{'peggedUSD': 1522649.861011},{'peggedUSD': 1522649.861011},"{'Solana': {'current': {'peggedUSD': 1522649.861011}, 'circulatingPrevDay': {'peggedUSD': 1522649.861011}, 'circulatingPrevWeek': {'peggedUSD': 1522649.861011}, 'circulatingPrevMonth': {'peggedUSD': 1522649.861011}}}",['Solana'],,
37,USDJ,USDJ,just-stablecoin,peggedUSD,defillama,crypto-backed,{'peggedUSD': 58379009.07012975},{'peggedUSD': 58381731.8253496},{'peggedUSD': 58705076.55896962},{'peggedUSD': 58397691.264258206},"{'Tron': {'current': {'peggedUSD': 58379009.07012975}, 'circulatingPrevDay': {'peggedUSD': 58381731.8253496}, 'circulatingPrevWeek': {'peggedUSD': 58705076.55896962}, 'circulatingPrevMonth': {'peggedUSD': 58397691.264258206}}}",['Tron'],1.095,
38,STBL,STBL,algostable,peggedUSD,defillama,crypto-backed,{'peggedUSD': 245832.895023},{'peggedUSD': 245832.895037},{'peggedUSD': 245860.167101},{'peggedUSD': 170238.874173},"{'Algorand': {'current': {'peggedUSD': 245832.895023}, 'circulatingPrevDay': {'peggedUSD': 245832.895037}, 'circulatingPrevWeek': {'peggedUSD': 245860.167101}, 'circulatingPrevMonth': {'peggedUSD': 170238.874173}}}",['Algorand'],0.994987,
39,VOLT Protocol,VOLT,volt-protocol,peggedVAR,defillama,algorithmic,{'peggedVAR': 188361.99304374296},{'peggedVAR': 188361.99304374296},{'peggedVAR': 188361.99304374296},{'peggedVAR': 238507.7962236394},"{'Ethereum': {'current': {'peggedVAR': 101442.66310168896}, 'circulatingPrevDay': {'peggedVAR': 101442.66310168896}, 'circulatingPrevWeek': {'peggedVAR': 101442.66310168896}, 'circulatingPrevMonth': {'peggedVAR': 151588.4662815854}}, 'Arbitrum': {'current': {'peggedVAR': 86919.329942054}, 'circulatingPrevDay': {'peggedVAR': 86919.329942054}, 'circulatingPrevWeek': {'peggedVAR': 86919.329942054}, 'circulatingPrevMonth': {'peggedVAR': 86919.329942054}}}","['Ethereum', 'Arbitrum']",,
40,Rai Reflex Index,RAI,rai,peggedVAR,defillama,crypto-backed,{'peggedVAR': 2611747.602851449},{'peggedVAR': 2611747.602851449},{'peggedVAR': 2578831.5487087085},{'peggedVAR': 2987808.3082246035},"{'Optimism': {'current': {'peggedVAR': 19542.003536817403}, 'circulatingPrevDay': {'peggedVAR': 19542.003536817403}, 'circulatingPrevWeek': {'peggedVAR': 19542.003536817403}, 'circulatingPrevMonth': {'peggedVAR': 19542.003536817403}}, 'Ethereum': {'current': {'peggedVAR': 2548187.1690026512}, 'circulatingPrevDay': {'peggedVAR': 2548187.1690026512}, 'circulatingPrevWeek': {'peggedVAR': 2515271.1148599107}, 'circulatingPrevMonth': {'peggedVAR': 2923389.0869590645}}, 'Gnosis': {'current': {'peggedVAR': 782.422042210052}, 'circulatingPrevDay': {'peggedVAR': 782.422042210052}, 'circulatingPrevWeek': {'peggedVAR': 782.422042210052}, 'circulatingPrevMonth': {'peggedVAR': 782.422042210052}}, 'Loopring': {'current': {'peggedVAR': 14237.072368798501}, 'circulatingPrevDay': {'peggedVAR': 14237.072368798501}, 'circulatingPrevWeek': {'peggedVAR': 14237.072368798501}, 'circulatingPrevMonth': {'peggedVAR': 14237.072368798501}}, 'Polygon': {'current': {'peggedVAR': 20481.183862364844}, 'circulatingPrevDay': {'peggedVAR': 20481.183862364844}, 'circulatingPrevWeek': {'peggedVAR': 20481.183862364844}, 'circulatingPrevMonth': {'peggedVAR': 21339.971279105946}}, 'Avalanche': {'current': {'peggedVAR': 54.48158109128587}, 'circulatingPrevDay': {'peggedVAR': 54.48158109128587}, 'circulatingPrevWeek': {'peggedVAR': 54.48158109128587}, 'circulatingPrevMonth': {'peggedVAR': 54.48158109128587}}, 'Arbitrum': {'current': {'peggedVAR': 8463.270457515388}, 'circulatingPrevDay': {'peggedVAR': 8463.270457515388}, 'circulatingPrevWeek': {'peggedVAR': 8463.270457515388}, 'circulatingPrevMonth': {'peggedVAR': 8463.270457515388}}}","['Ethereum', 'Polygon', 'Optimism', 'Loopring', 'Arbitrum', 'Gnosis', 'Avalanche']",2.76,
41,Float Protocol Float,FLOAT,float-protocol-float,peggedVAR,defillama,algorithmic,{'peggedVAR': 1070940.7129956363},{'peggedVAR': 1070940.7129956363},{'peggedVAR': 1070940.7129956363},{'peggedVAR': 1084204.202995636},"{'Ethereum': {'current': {'peggedVAR': 1070940.7129956363}, 'circulatingPrevDay': {'peggedVAR': 1070940.7129956363}, 'circulatingPrevWeek': {'peggedVAR': 1070940.7129956363}, 'circulatingPrevMonth': {'peggedVAR': 1084204.202995636}}}",['Ethereum'],,
42,USDX,USDX,usdx,peggedUSD,defillama,crypto-backed,{'peggedUSD': 39955386},{'peggedUSD': 39979882},{'peggedUSD': 40065946},{'peggedUSD': 42819746},"{'Kava': {'current': {'peggedUSD': 39955386}, 'circulatingPrevDay': {'peggedUSD': 39979882}, 'circulatingPrevWeek': {'peggedUSD': 40065946}, 'circulatingPrevMonth': {'peggedUSD': 42819746}}}",['Kava'],0.904389,
43,ZUSD,ZUSD,zusd,peggedUSD,defillama,fiat-backed,{'peggedUSD': 15921615.557332},{'peggedUSD': 15921615.557332},{'peggedUSD': 16132965.557332},{'peggedUSD': 16132265.557332},"{'Ethereum': {'current': {'peggedUSD': 15921615.557332}, 'circulatingPrevDay': {'peggedUSD': 15921615.557332}, 'circulatingPrevWeek': {'peggedUSD': 16132965.557332}, 'circulatingPrevMonth': {'peggedUSD': 16132265.557332}}}",['Ethereum'],0.996475,
44,dForce USD,USX,token-dforce-usd,peggedUSD,defillama,crypto-backed,{'peggedUSD': 32417652.299242564},{'peggedUSD': 33332360.372230936},{'peggedUSD': 35287961.53569687},{'peggedUSD': 35167932.16085377},"{'BSC': {'current': {'peggedUSD': 14031392.829891453}, 'circulatingPrevDay': {'peggedUSD': 14058472.754911775}, 'circulatingPrevWeek': {'peggedUSD': 14286950.655660668}, 'circulatingPrevMonth': {'peggedUSD': 14392411.787715256}}, 'Optimism': {'current': {'peggedUSD': 7397062.610014787}, 'circulatingPrevDay': {'peggedUSD': 8201539.728925502}, 'circulatingPrevWeek': {'peggedUSD': 9531640.346840743}, 'circulatingPrevMonth': {'peggedUSD': 9301938.225712806}}, 'Ethereum': {'current': {'peggedUSD': 2084381.7534626722}, 'circulatingPrevDay': {'peggedUSD': 2084381.7534626722}, 'circulatingPrevWeek': {'peggedUSD': 2184381.753462881}, 'circulatingPrevMonth': {'peggedUSD': 2186068.4124792516}}, 'Kava': {'current': {'peggedUSD': 23608.78181653208}, 'circulatingPrevDay': {'peggedUSD': 23878.93386377947}, 'circulatingPrevWeek': {'peggedUSD': 23777.37773706502}, 'circulatingPrevMonth': {'peggedUSD': 54327.75359502598}}, 'Polygon': {'current': {'peggedUSD': 462678.20962112094}, 'circulatingPrevDay': {'peggedUSD': 495908.7967386425}, 'circulatingPrevWeek': {'peggedUSD': 675240.5558003597}, 'circulatingPrevMonth': {'peggedUSD': 630255.686318014}}, 'Avalanche': {'current': {'peggedUSD': 0}, 'circulatingPrevDay': {'peggedUSD': 0}, 'circulatingPrevWeek': {'peggedUSD': 0}, 'circulatingPrevMonth': {'peggedUSD': 0}}, 'Conflux': {'current': {'peggedUSD': 4155.94417483767}, 'circulatingPrevDay': {'peggedUSD': 34.37377574576385}, 'circulatingPrevWeek': {'peggedUSD': 28.373775745742023}, 'circulatingPrevMonth': 0}, 'Arbitrum': {'current': {'peggedUSD': 8414372.17026116}, 'circulatingPrevDay': {'peggedUSD': 8468144.03055282}, 'circulatingPrevWeek': {'peggedUSD': 8585942.472419411}, 'circulatingPrevMonth': {'peggedUSD': 8602930.295033425}}}","['BSC', 'Arbitrum', 'Optimism', 'Ethereum', 'Polygon', 'Kava', 'Conflux', 'Avalanche']",1.041,
45,aUSD Seed,aSEED,acala-dollar,peggedUSD,defillama,crypto-backed,{'peggedUSD': 2918402.0277808714},{'peggedUSD': 2918402.0277808714},{'peggedUSD': 2922682.9121824186},{'peggedUSD': 3410127.725580274},"{'Karura': {'current': {'peggedUSD': 2918402.0277808714}, 'circulatingPrevDay': {'peggedUSD': 2918402.0277808714}, 'circulatingPrevWeek': {'peggedUSD': 2922682.9121824186}, 'circulatingPrevMonth': {'peggedUSD': 3410127.725580274}}, 'Acala': {'current': {'peggedUSD': 0}, 'circulatingPrevDay': {'peggedUSD': 0}, 'circulatingPrevWeek': {'peggedUSD': 0}, 'circulatingPrevMonth': {'peggedUSD': 0}}}","['Karura', 'Acala']",0.51763,
